encoder_size,experiment_name,model,seed,test_acc,train_acc,transfer,tune_acc
100,t100fwcomp,comp,5010.0,0.6041666673762458,0.7465460527884332,True,0.6541666686534882
100,t100fwcomp,comp,3673.0,0.6577380959476743,0.8189144738410649,True,0.6729166686534882
100,t100fwcomp,comp,7057.0,0.6495535714285714,0.8070723688916156,True,0.6802083343267441
100,t100fwcomp,comp,8343.0,0.6138392857142857,0.9432565789473684,True,0.678125
100,t100fwcomp,comp,9613.0,0.6450892857142857,0.8736842109968788,True,0.6854166686534882
100,t100fwcomp,comp,6593.0,0.6778273816619601,0.8249999998431456,True,0.6854166686534882
100,r100fwcomp,comp,663.0,0.5982142857142857,0.764144736685251,False,0.6510416686534881
100,r100fwcomp,comp,7245.0,0.6555059530905315,0.7741776320495104,False,0.6760416686534881
100,r100fwcomp,comp,4986.0,0.6026785714285714,0.9013157894736842,False,0.6885416686534882
100,r100fwcomp,comp,5202.0,0.6354166673762458,0.8695723688916156,False,0.6697916686534882
100,r100fwcomp,comp,9628.0,0.6130952388048172,0.9580592105263158,False,0.6822916686534881
100,r100fwcomp,comp,3573.0,0.6331845245191029,0.7675986846810893,False,0.671875
100,r100fwcomp,comp,2751.0,0.6450892857142857,0.8317434215231946,False,0.6760416686534881
100,r100fwcomp,comp,4917.0,0.6502976204667773,0.7440789475252754,False,0.6729166686534882
100,r100fwcomp,comp,5086.0,0.6540178571428571,0.8189144738410649,False,0.6645833343267441
100,r100fwcomp,comp,6542.0,0.6331845245191029,0.8731907896305385,False,0.6625
100,r100fwcomp,comp,1301.0,0.6502976204667773,0.8687500004705629,False,0.6666666686534881
100,r100fwcomp,comp,4908.0,0.6272321428571429,0.8758223684210527,False,0.6791666686534882
100,r100fwcomp,comp,9592.0,0.6428571428571429,0.9449013157894736,False,0.6802083343267441
100,r100fwcomp,comp,2965.0,0.6488095245191029,0.7708881583652998,False,0.68125
100,r100fwcomp,comp,7196.0,0.6331845245191029,0.7542763156326193,False,0.6635416686534882
100,r100fwcomp,comp,6690.0,0.6354166673762458,0.8078947373126683,False,0.671875
100,r100fwcomp,comp,1994.0,0.6309523816619601,0.901151315946328,False,0.6760416686534881
100,r100fwcomp,comp,8486.0,0.6138392857142857,0.7259868422621175,False,0.66875
100,r100fwcomp,comp,3933.0,0.6011904776096344,0.7733552636284577,False,0.6791666686534882
100,r100fwcomp,comp,415.0,0.640625,0.939967105263158,False,0.6791666686534882
640,t640fwcomprw2,comprw2,663.0,0.5974702388048172,0.9342105263157896,True,0.678125
640,t640fwcomprw2,comprw2,2840.0,0.607886906181063,0.8049342106831702,True,0.6822916686534881
640,t640fwcomprw2,comprw2,6422.0,0.6450892857142857,0.8822368422621175,True,0.6760416686534881
640,t640fwcomprw2,comprw2,2945.0,0.6153273816619601,0.8029605267863524,True,0.6791666686534882
640,t640fwcomprw2,comprw2,2376.0,0.6145833347524915,0.845230263314749,True,0.683333334326744
640,t640fwcomprw2,comprw2,6094.0,0.5535714285714286,0.7004934212094859,True,0.65625
640,t640fwcomprw2,comprw2,7265.0,0.5885416673762458,0.7314144741547736,True,0.6697916686534882
640,t640fwcomprw2,comprw2,8378.0,0.6205357142857143,0.9893092105263158,True,0.665625
640,t640fwcomprw2,comprw2,9213.0,0.6264880959476743,0.7996710531021419,True,0.6895833343267441
640,t640fwcomprw2,comprw2,9647.0,0.5811011918953487,0.7473684212094859,True,0.684375
640,t640fwcomprw2,comprw2,7552.0,0.6049107142857143,0.6983552630010404,True,0.671875
640,t640fwcomprw2,comprw2,3866.0,0.5900297633239201,0.8967105267863524,True,0.6697916686534882
640,t640fwcomprw2,comprw2,739.0,0.6220238102333886,0.8218750004705629,True,0.667708334326744
640,t640fwcomprw2,comprw2,5294.0,0.5967261918953487,0.676973684053672,True,0.6489583343267441
640,t640fwcomprw2,comprw2,4276.0,0.6599702388048172,0.8485197369989596,True,0.6895833343267441
640,t640fwcomprw2,comprw2,3546.0,0.6197916673762458,0.9375,True,0.6979166686534881
640,t640fwcomprw2,comprw2,5083.0,0.6160714285714286,0.9613486842105264,True,0.68125
640,t640fwcomprw2,comprw2,5421.0,0.592261906181063,0.7345394735273562,True,0.6666666686534881
640,t640fwcomprw2,comprw2,4751.0,0.6264880959476743,0.8078947373126683,True,0.675
640,t640fwcomprw2,comprw2,7833.0,0.6063988102333886,0.8611842103694615,True,0.6697916686534882
512,t512fwcompcHalf,compc,663.0,0.5788690490382058,0.7911184210526315,True,0.65
512,t512fwcompcHalf,compc,1809.0,0.6212797633239201,0.9268092105263158,True,0.6666666686534881
512,t512fwcompcHalf,compc,3663.0,0.6004464285714286,0.8001644736842105,True,0.6708333343267441
512,t512fwcompcHalf,compc,4166.0,0.6190476204667773,0.6934210524747246,True,0.652083334326744
512,t512fwcompcHalf,compc,4277.0,0.5565476204667773,0.7371710531021419,True,0.6770833343267441
512,t512fwcompcHalf,compc,7485.0,0.5617559530905315,0.7161184212094859,True,0.640625
512,t512fwcompcHalf,compc,3053.0,0.5595238102333886,0.8037828952074051,True,0.6770833343267441
512,t512fwcompcHalf,compc,2139.0,0.545386906181063,0.7960526315789473,True,0.6625
512,t512fwcompcHalf,compc,2038.0,0.6086309530905315,0.9498355263157896,True,0.6802083343267441
512,t512fwcompcHalf,compc,556.0,0.5915178571428571,0.875,True,0.6635416686534882
512,t512fwcompcHalf,compc,3862.0,0.5877976204667773,0.8848684210526315,True,0.675
512,t512fwcompcHalf,compc,233.0,0.5729166673762458,0.9202302631578948,True,0.6760416686534881
